Source,Target
399404,228150
395990,4771
395990,64689
395990,562
395990,395841
395990,75780
17979,13188
17979,1585
17979,8871
17979,9479
17979,25842
389015,396371
389015,319888
389015,424
389015,640
398818,26371
398818,376867
398818,84892
398818,333339
315837,201088
315837,9323
315837,1571
315837,603
315837,605
437586,449176
437586,8363
437586,376660
437586,85350
437586,112160
379149,238636
379149,345887
379149,49021
379149,74997
400617,399057
400617,1367
400617,277216
400617,9339
400617,4148
425972,8810
425972,405774
425972,76341
425972,297762
425972,9659
500919,15069
500919,984
500919,807
500919,75780
500919,445954
412862,371608
412862,39874
412862,948
412862,429476
412862,10781
396371,413362
396371,242
396371,640
396371,7984
376867,511785
376867,26280
376867,14
376867,627
470229,3597
470229,281957
470229,948
470229,238636
470229,500664
400579,433
400579,303991
400579,277216
400579,2758
400579,111
278927,9502
278927,9325
278927,346648
278927,34584
419831,1927
419831,209112
419831,141052
419831,49521
419831,49026
392044,4176
392044,75780
392044,60670
392044,281957
392044,2275
1124,675
1124,291805
1124,44214
1124,75656
1124,13374
385332,101
385332,281957
385332,345887
385332,956
385332,77
1402,451915
1402,310307
1402,8916
1402,10139
1402,2539
454652,340613
454652,10161
454652,640
454652,769
454652,424
536176,551095
536176,419546
536176,422261
536176,397403
536176,511457
475094,857
475094,334522
475094,369885
475094,853
475094,746
372058,8392
372058,81
372058,4011
372058,270303
372058,507569
395834,75780
395834,345887
395834,8090
395834,359412
446354,891
446354,460868
446354,640
446354,424
446354,769
18239,24021
18239,50619
18239,36648
18239,49017
18239,50620
340666,340613
340666,222935
340666,185
340666,8966
340666,2501
401469,949
401469,531593
401469,520360
401469,339403
401469,402900
335797,9836
335797,260514
335797,9598
335797,9447
335797,44244
146233,345887
146233,37645
146233,11423
146233,984
146233,1923
341174,22705
341174,84892
341174,101299
341174,336843
341174,8966
561362,9813
561362,370663
561362,281957
561362,634
561362,437557
44214,949
44214,244786
44214,82693
44214,8834
38,1903
38,521
38,261470
38,19913
38,77
61791,76341
61791,63
61791,6479
61791,180
395991,49017
395991,228150
395991,122
395991,2924
395991,707
77338,489
77338,13
77338,68718
77338,862
77338,72105
75780,4771
75780,357096
75780,11423
75780,2275
75780,281957
381283,769
381283,238636
381283,110415
381283,395834
381283,473149
58595,290595
58595,408
58595,385448
58595,159824
58595,62764
53182,37958
53182,18823
53182,57165
53182,188207
53182,10323
273481,345887
273481,979
273481,4771
273481,156022
273481,956
147441,9837
147441,487558
147441,381284
147441,414425
147441,50014
406990,75780
406990,949
406990,782
406990,2275
406990,193893
112160,14
112160,449176
112160,53932
112160,86331
112160,17130
62764,408
62764,290595
62764,60304
62764,32593
11130,400617
11130,4974
11130,521
11130,13
11130,597
381289,101299
381289,336843
381289,281957
381289,12155
381289,8966
462919,64255
462919,621
462919,429417
462919,224141
462919,2976
37799,201088
37799,65754
37799,446807
37799,15472
37799,115782
2503,2501
2503,2502
2503,9331
2503,8834
2503,4771
652,10693
652,18823
652,57165
652,188207
652,9022
361292,561
361292,44214
361292,396422
361292,439079
361292,259693
120467,539
120467,311
120467,97630
120467,340613
120467,132344
154400,324542
154400,156022
154400,769
154400,949
154400,241554
72190,294254
72190,336843
72190,82654
72190,131631
72190,198663
283366,1452
283366,9531
283366,8536
283366,49521
283366,297762
68724,604
68724,605
68724,603
68724,2048
68724,157336
414191,15021
414191,519247
414191,565
414191,10559
414191,428449
446791,345887
446791,74997
446791,4771
446791,769
446791,424121
307081,396371
307081,70
307081,9991
307081,9291
24021,50619
24021,50620
24021,49017
2502,2501
2502,562
2502,1571
2502,769
265208,309242
265208,32044
265208,8065
265208,524
265208,8052
436931,34433
436931,81
436931,28609
436931,44251
436931,10228
489927,400928
489927,1427
489927,334
489927,9428
489927,11393
384680,396373
384680,395834
384680,581
384680,8584
384680,281957
222935,10229
222935,308369
222935,9880
222935,449176
222935,317091
396461,949
396461,396371
396461,627
396461,90
396461,426
6479,604
6479,605
6479,603
6479,87101
6479,198663
395992,2067
395992,157336
395992,126889
395992,286217
395992,348
6977,4836
6977,101
6977,189
6977,949
6977,156022
399170,520360
399170,949
399170,339403
399170,9654
399170,154400
394117,376867
394117,17130
394117,13
394117,627
394117,382591
433498,769
433498,424
433498,487558
433498,451915
433498,334543
274857,19957
274857,762
274857,18937
274857,6520
274857,346
426613,449176
426613,84892
426613,10818
426613,370663
426613,376867
205587,396371
205587,314365
205587,1645
205587,413362
205587,389
290595,767
290595,808
290595,809
290595,385448
176147,370663
176147,10818
176147,52371
176147,426613
176147,258480
4922,458594
4922,510
4922,956
4922,458737
4922,416477
453201,8966
453201,2501
453201,2503
453201,350
453201,424
419478,627
419478,463053
419478,62211
419478,254470
419478,353616
168672,769
168672,1422
168672,156022
168672,339103
401905,157350
401905,198663
401905,101299
401905,131631
401905,2048
520360,500
520360,949
520360,339403
520360,574
520360,747
489925,376660
489925,24684
489925,12689
489925,9779
489925,411741
370663,513
370663,52371
370663,449176
370663,376867
525554,96
525554,75780
525554,11423
525554,984
525554,1266
301337,604
301337,605
301337,335984
301337,500664
301337,9739
76203,8619
76203,68718
76203,339408
76203,19067
76203,407806
493006,44251
493006,28609
493006,39107
493006,39101
493006,34433
274870,126889
274870,157336
274870,348
274870,8077
110415,185
110415,280
110415,281957
110415,9482
110415,8810
121046,149467
121046,149465
121046,147371
121046,149468
121046,274857
440161,682
440161,8966
440161,9880
440161,429
440161,510
201088,5503
201088,2502
201088,213
201088,27576
201088,2503
418827,53932
418827,345
418827,405817
418827,10068
418827,796
296096,8966
296096,466282
296096,43923
296096,9880
296096,222935
50620,49017
50620,50619
50620,36648
11036,1366
11036,1246
11036,7555
11036,1494
11036,11232
399057,956
399057,458594
399057,146233
399057,345887
399057,37645
429191,152532
429191,226
429191,13403
429191,16153
345920,334541
345920,238636
345920,473149
345920,769
345920,395834
207932,281957
207932,2502
207932,2503
207932,562
207932,769
429195,322
429195,7443
429195,533
429195,9427
429195,219
334522,424
334522,637
334522,228150
334522,369885
334522,14574
407448,26390
407448,281957
407448,101
407448,345887
407448,1632
1495,38543
1495,26175
1495,10786
1495,39382
1495,298667
425336,769
425336,424
425336,424694
425336,487558
425336,451915
548727,474354
548727,489931
548727,281957
548727,424694
548727,554600
82693,286565
82693,109689
82693,8966
82693,13
82693,9880
13374,449176
13374,14069
13374,18126
13374,62211
385360,281957
385360,562
385360,238636
385360,442249
385360,395834
12405,9325
12405,11450
12405,20529
12405,283705
12405,283715
385448,767
385448,12444
385448,12445
385448,10882
385448,671
254320,782
254320,119450
254320,22970
254320,298250
254320,101299
318846,424
318846,640
318846,769
318846,389015
318846,487558
334541,493922
334541,4922
334541,399057
334541,956
353326,340027
353326,205596
353326,334543
353326,424
353326,640
220882,198663
220882,157350
220882,78
220882,336843
220882,131631
290098,52371
290098,370663
290098,22705
290098,301365
290098,4247
530154,138100
530154,537996
530154,429417
530154,390329
530154,14128
487670,141052
487670,49521
487670,1452
487670,1924
487670,9531
397837,449176
397837,286565
397837,9880
397837,222935
397837,317091
510284,15092
510284,321258
510284,15196
510284,11121
510284,44982
124905,373571
124905,15766
124905,1682
124905,15767
124905,315011
334533,443463
334533,2062
334533,212778
334533,284276
334533,43923
314365,396371
314365,376867
314365,446354
314365,9798
333348,51052
333348,11881
333348,8871
333348,772
333348,9479
458344,1584
458344,525
458344,424694
458344,786
458344,6477
310307,371638
310307,402897
310307,746
310307,640
310307,769
417812,84892
417812,340613
417812,10734
417812,8966
417812,398818
65754,60670
65754,395834
65754,392044
65754,75780
86834,14161
86834,615
86834,310
86834,274855
86834,109414
332567,135397
332567,578
332567,345940
332567,579
332567,44115
9693,604
9693,605
9693,101299
9693,76341
9693,20504
64682,27066
64682,346685
64682,1259
64682,4148
64682,50619
13223,311
13223,245891
13223,345887
13223,277216
13223,11474
371638,8966
371638,9880
371638,424
371638,769
371638,222935
64690,341006
64690,769
64690,398175
64690,1991
64690,74997
465136,336843
465136,70160
465136,401905
465136,321612
465136,476926
382591,293768
382591,118
382591,433
382591,634
463684,419430
463684,1359
463684,14
463684,96936
463684,256591
244761,562
244761,345887
244761,275
244761,1571
244761,473149
302946,629
302946,400579
302946,395990
302946,59967
302946,338768
254,244
254,58
254,135397
254,497
254,329
115290,5689
115290,449176
115290,13888
115290,9880
115290,286565
39538,300668
39538,126889
39538,336843
39538,1927
39538,149
171274,8966
171274,9880
171274,769
171274,222935
171274,10734
398181,8012
398181,769
398181,281957
398181,169917
398181,4771
87827,700
87827,9836
87827,205775
87827,10527
87827,551
86331,22705
86331,52371
86331,370663
86331,341174
296098,27576
296098,954
296098,691
296098,1247
296098,1374
493551,10661
493551,640
493551,769
493551,424
493551,316029
338768,400579
338768,380
338768,8838
338768,431
339380,370663
339380,273153
339380,152532
339380,467952
339380,5915
502682,451480
502682,5951
502682,448514
502682,125255
152532,502220
152532,9800
152532,205596
152532,398818
152532,273481
70,1371
70,1374
70,1367
70,1366
70,481117
68734,424694
68734,425336
68734,152532
68734,266856
68734,300671
363676,2567
363676,87502
363676,10559
363676,568
363676,157336
122906,13
122906,137106
122906,521
122906,433
122906,141
28178,13
28178,489
28178,68718
28178,381289
28178,862
1579,346
1579,10191
1579,1372
1579,3170
1579,9902
787,249070
787,956
787,521
787,2501
787,101
346685,2501
346685,2502
346685,2503
346685,77
186,156022
186,261023
186,769
186,395834
186,9331
241554,10651
241554,281957
241554,345887
241554,445954
241554,11423
96721,9991
96721,9291
96721,60308
96721,22881
96721,7214
455108,392044
455108,281957
455108,336843
455108,101299
455108,395841
369885,289
369885,676
369885,1771
369885,423
1491,155
1491,812
1491,272
1491,1452
1491,1924
4348,8966
4348,9880
4348,222935
4348,50619
19913,50544
19913,521
19913,489
19913,398818
483184,345887
483184,357096
483184,281957
483184,458594
483184,74997
258216,22705
258216,249397
258216,112160
258216,4247
258216,53932
116745,492336
116745,578
116745,403119
116745,8914
116745,579
22803,10575
22803,547508
22803,94105
22803,225816
22803,280028
97630,27576
97630,9331
97630,562
97630,954
97630,955
266856,487558
266856,451915
266856,443009
266856,363676
266856,640
454283,16314
454283,105
454283,18885
454283,1726
454283,10138
365222,424694
365222,487558
365222,324786
365222,443009
365222,451915
534993,9739
534993,898
534993,29259
534993,17185
534993,27172
338766,339692
338766,429200
338766,8987
338766,475
338766,1696
37958,18823
37958,57165
37958,10323
37958,76285
37958,1417
333371,1571
333371,562
333371,146233
333371,345887
333371,275
196867,11224
196867,407655
196867,9325
196867,224141
196867,150689
290512,281957
290512,101299
290512,336843
290512,12155
496328,487558
496328,324786
496328,424694
496328,451915
496328,443009
303991,14
303991,370663
303991,194662
303991,416477
416477,772
416477,333348
416477,429200
416477,241239
353070,500919
353070,429203
353070,531593
353070,755
353070,1969
435577,424
435577,334522
435577,369885
435577,8966
435577,283366
17431,157336
17431,604
17431,605
17431,335984
17431,500664
14574,423
14574,424
14574,369885
14574,289
14574,637
339692,4771
339692,345887
339692,2749
339692,868
339692,15069
491584,8643
491584,263471
491584,123997
491584,407874
491584,268373
300671,424
300671,324786
300671,205775
300671,467952
300671,746
339988,157353
339988,62
339988,264660
339988,296
339988,328387
296524,5919
296524,568
296524,11228
296524,7191
296524,562
512412,10734
512412,278
512412,500
512412,1368
512412,398175
343674,336843
343674,448095
343674,398181
343674,11601
343674,11929
8456,391757
8456,345887
8456,445954
8456,11713
8456,604
9009,131631
9009,8966
9009,294254
9009,336843
9009,416234
413362,445954
413362,18587
413362,17494
413362,984
413362,1266
372343,392044
372343,281957
372343,381034
372343,60670
372343,4771
432301,376866
432301,403
432301,4587
432301,11973
432301,2142
